BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
BGC0000611	BGC0000611	Streptomyces sioyaensis strain ATCC 13989 siomycin biosynthesis gene cluster, complete sequence	LAP.thiopeptide.terpene	Others	Streptomyces sioyaensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000630	BGC0000630	Paracoccus haeundaensis astaxanthin biosynthesis gene cluster, complete sequence	terpene	Terpene	Paracoccus haeundaensis	Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus
BGC0000631	BGC0000631	Botrytis cinerea B05.10 chromosome BCIN12, complete sequence	terpene	Terpene	Botrytis cinerea B05.10	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis
BGC0000632	BGC0000632	Nocardia terpenica strain IFM 0406 genomic scaffold scaffold2, whole genome shotgun sequence	terpene	Terpene	Nocardia terpenica	Bacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia
BGC0000633	BGC0000633	Streptomyces avermitilis carotenoid biosynthetic gene cluster	terpene	Terpene	Streptomyces avermitilis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000634	BGC0000634	Brevundimonas sp. NBRC 101024 carotenoid biosynthesis gene cluster (orf1, crtW, crtY, crtI, crtB, orf6, orf7, crtE, idi, crtZ, crtG, orf12), complete cds	terpene	Terpene	Brevundimonas sp. NBRC 101024	Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,unclassified Brevundimonas
BGC0000635	BGC0000635	Paracoccus sp. N81106 carotenoid biosynthesis gene cluster (idi, crtW, crtZ, crtY, crtI, crtB, crtE, crtX), complete cds	terpene	Terpene	Paracoccus sp. N81106	Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,unclassified Paracoccus (in: Bacteria)
BGC0000636	BGC0000636	Brevibacterium linens carotenoid biosynthetic gene cluster, complete sequence	terpene	Terpene	Brevibacterium linens	Bacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium
BGC0000637	BGC0000637	Brevibacterium flavum carotenoid biosynthesis gene cluster, partial sequence	terpene	Terpene	Corynebacterium glutamicum	Bacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium
BGC0000638	BGC0000638	Pantoea ananatis carotenoid biosynthesis gene cluster (crtE, crtX, crtY, crtI, crtB, crtZ), complete cds	terpene	Terpene	Pantoea ananatis	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea
BGC0000639	BGC0000639	Enterobacteriaceae bacterium DC260 carotenoid synthesis gene cluster, complete sequence	terpene	Terpene	Enterobacteriaceae bacterium DC260	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
BGC0000640	BGC0000640	Enterobacteriaceae bacterium DC404 carotenoid synthesis gene cluster, complete sequence	terpene	Terpene	Enterobacteriaceae bacterium DC404	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
BGC0000641	BGC0000641	Enterobacteriaceae bacterium DC416 carotenoid synthesis gene cluster, complete sequence	terpene	Terpene	Enterobacteriaceae bacterium DC416	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
BGC0000642	BGC0000642	Enterobacteriaceae bacterium DC413 carotenoid synthesis gene cluster, complete sequence	terpene	Terpene	Enterobacteriaceae bacterium DC413	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
BGC0000643	BGC0000643	Brevundimonas vesicularis carotenoid synthesis gene cluster, complete sequence	terpene	Terpene	Brevundimonas vesicularis	Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
BGC0000644	BGC0000644	Dietzia sp. CQ4 C50 carotenoid synthesis gene cluster, complete sequence	terpene	Terpene	Dietzia sp. CQ4	Bacteria,Actinobacteria,Corynebacteriales,Dietziaceae,Dietzia,unclassified Dietzia
BGC0000645	BGC0000645	Halobacillus halophilus strain DSM 2266 carotenoid biosynthesis gene cluster, complete sequence	terpene	Terpene	Halobacillus halophilus DSM 2266	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus
BGC0000646	BGC0000646	Uncultured bacterium clone RM3 carotenoid biosynthetic gene cluster, complete sequence	terpene	Terpene	uncultured bacterium	Bacteria,environmental samples
BGC0000647	BGC0000647	carotenoid gene cluster: crtI=phytoene desaturase, crtB=phytoene synthase [Rhodobacter sphaeroides, Genomic, 3084 nt]	terpene	Terpene	Cereibacter sphaeroides	Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cereibacter
BGC0000648	BGC0000648	Myxococcus xanthus carotenoid gene cluster	terpene	Terpene	Myxococcus xanthus	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Myxococcaceae,Myxococcus
BGC0000649	BGC0000649	Streptomyces griseus strain IFO13350 carotinoid biosynthesis gene cluster, complete sequence	terpene	Terpene	Streptomyces griseus subsp. griseus NBRC 13350	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000650	BGC0000650	Algoriphagus sp. KK10202C carotenoid synthesis gene cluster, complete sequence	terpene	Terpene	Algoriphagus sp. KK10202C	Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,unclassified Algoriphagus
BGC0000651	BGC0000651	Streptomyces argenteolus gene cluster for biosynthesis of tetraterpenoid, KS-505a	terpene	Terpene	Streptomyces argenteolus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000652	BGC0000652	Streptomyces sp. CNQ525 napyradiomycin biosynthetic gene cluster, partial sequence	T3PKS.terpene	Others	Streptomyces sp. CNQ-525	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000653	BGC0000653	Streptomyces arenae strain TU469 pentalenolactone biosynthetic gene cluster, complete sequence	terpene	Terpene	Streptomyces arenae	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000654	BGC0000654	Streptomyces sp. Tu6071 phenalinolactone biosynthetic gene cluster, complete sequence	PKS-like.terpene	Others	Streptomyces sp. Tu6071	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000656	BGC0000656	Xanthobacter sp. Py2 zeaxanthin biosynthetic gene cluster, complete sequence	terpene	Terpene	Xanthobacter autotrophicus Py2	Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Xanthobacter
BGC0000657	BGC0000657	Pseudanabaena sp. dqh15 2-methylisoborneol (2-MIB) synthesis associated operon, complete sequence	terpene	Terpene	Pseudanabaena sp. dqh15	Bacteria,Cyanobacteria,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena
BGC0000658	BGC0000658	Streptomyces griseus subsp. griseus NBRC 13350 DNA, complete genome	terpene	Terpene	Streptomyces griseus subsp. griseus NBRC 13350	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000659	BGC0000659	Saccharopolyspora erythraea NRRL2338 complete genome	terpene	Terpene	Saccharopolyspora erythraea NRRL 2338	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora
BGC0000660	BGC0000660	Streptomyces coelicolor A3(2) complete genome	terpene	Terpene	Streptomyces coelicolor A3(2)	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces albidoflavus group
BGC0000661	BGC0000661	Nostoc punctiforme PCC 73102 strain ATCC 29133 chromosome, complete genome	terpene	Terpene	Nostoc punctiforme PCC 73102	Bacteria,Cyanobacteria,Nostocales,Nostocaceae,Nostoc
BGC0000663	BGC0000663	Streptomyces coelicolor A3(2) complete genome	terpene	Terpene	Streptomyces coelicolor A3(2)	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces albidoflavus group
BGC0000664	BGC0000664	Streptomyces griseus subsp. griseus NBRC 13350 DNA, complete genome	terpene	Terpene	Streptomyces griseus subsp. griseus NBRC 13350	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000667	BGC0000667	Penicillium roqueforti FM164 genomic scaffold, ProqFM164S02, whole genome shotgun sequence	terpene	Terpene	Penicillium roqueforti FM164	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium
BGC0000669	BGC0000669	Arabidopsis thaliana chromosome 5 sequence	terpene	Terpene	Arabidopsis thaliana	Eukaryota,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophyta,Magnoliopsida,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Brassicales,Brassicaceae,Camelineae,Arabidopsis
BGC0000671	BGC0000671	Oryza sativa Japonica Group DNA, chromosome 4, complete sequence, cultivar: Nipponbare	terpene	Terpene	Oryza sativa Japonica Group	Eukaryota,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophyta,Magnoliopsida,Liliopsida,Poales,Poaceae,BOP clade,Oryzoideae,Oryzeae,Oryzinae,Oryza,Oryza sativa
BGC0000672	BGC0000672	Oryza sativa Japonica Group DNA, chromosome 2, complete sequence, cultivar: Nipponbare	terpene	Terpene	Oryza sativa Japonica Group	Eukaryota,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophyta,Magnoliopsida,Liliopsida,Poales,Poaceae,BOP clade,Oryzoideae,Oryzeae,Oryzinae,Oryza,Oryza sativa
BGC0000674	BGC0000674	Streptomyces clavuligerus ATCC 27064 supercont1.14 genomic scaffold, whole genome shotgun sequence	terpene	Terpene	Streptomyces clavuligerus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000675	BGC0000675	Streptomyces clavuligerus ATCC 27064 supercont1.31 genomic scaffold, whole genome shotgun sequence	terpene	Terpene	Streptomyces clavuligerus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000676	BGC0000676	Neocamarosporium betae PbGGS, ACS, PbP450-1, PbTP, PbP450-2, PbTF genes for geranylgeranyldiphosphate synthase, aphidicolan-16b-ol synthase, P450 monooxygenase 1, transporter protein, P450 monooxygenase 2, transcription factor, complete cds	terpene	Terpene	Neocamarosporium betae	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Neocamarosporium
BGC0000678	BGC0000678	Streptomyces avermitilis MA-4680 = NBRC 14893 DNA, complete genome	terpene	Terpene	Streptomyces avermitilis MA-4680 = NBRC 14893	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000683	BGC0000683	Streptomyces avermitilis MA-4680 = NBRC 14893 DNA, complete genome	terpene	Terpene	Streptomyces avermitilis MA-4680 = NBRC 14893	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000685	BGC0000685	Alternaria brassicicola ATCC 96836 A_brassicicola-1.0.1_Cont1.94, whole genome shotgun sequence	terpene	Terpene	Alternaria brassicicola ATCC 96836	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Alternaria,Alternaria sect. Brassicicola
BGC0000688	BGC0000688	Diaporthe amygdali genomic DNA, strain:N2, clone:PaGenomeD	terpene	Terpene	Diaporthe amygdali	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Diaporthales,Diaporthaceae,Diaporthe
BGC0000930	BGC0000930	Gibberella zeae 88-1 trichothecene biosynthesis gene cluster, complete sequence	terpene	Terpene	Fusarium graminearum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium
BGC0001046	BGC0001046	Streptomyces lydicus streptolydigin biosynthesis gene cluster, strain NRRL 2433	NRPS.T1PKS.terpene	Others	Streptomyces lydicus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001078	BGC0001078	Streptomyces sp. KO-3988 furaquinocin A biosynthetic gene cluster, complete cds	T3PKS.terpene	Others	Streptomyces sp. KO-3988	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001079	BGC0001079	Streptomyces aculeolatus napyradiomycin biosynthetic gene cluster, complete sequence	T3PKS.terpene	Others	Streptomyces aculeolatus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001082	BGC0001082	Penicillium paxilli strain PN2013 hypothetical protein PP101, hypothetical protein PP102, hypothetical protein PP103, hypothetical protein PP104, hypothetical protein PP105, hypothetical protein PP106, hypothetical protein PP107, hypothetical protein PP108, hypothetical protein PP109, hypothetical protein PP110, hypothetical protein PP111, and hypothetical protein PP112 genes, complete cds; paxilline biosynthetic gene cluster, complete sequence; and hypothetical protein PP121 and hypothetical protein PP122 genes, complete cds	indole.terpene	Others	Penicillium paxilli	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium
BGC0001083	BGC0001083	Streptomyces sp. CNH189 merochlorin gene cluster, complete sequence	butyrolactone.T3PKS.terpene	Others	Streptomyces sp. CNH189	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001181	BGC0001181	Streptomyces coelicolor A3(2) complete genome	terpene	Terpene	Streptomyces coelicolor A3(2)	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces albidoflavus group
BGC0001201	BGC0001201	Sorangium cellulosum 'So ce 56' complete genome	terpene	Terpene	Sorangium cellulosum So ce56	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Sorangium
BGC0001227	BGC0001227	Streptomyces collinus Tu 365 chromosome, complete genome	terpene	Terpene	Streptomyces collinus Tu 365	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001260	BGC0001260	Chaunopycnis alba ORF1, terK, terC, terB, terQ, terM, terP, terF, ORF2, ORF3 genes for indoleamine 2,3-dioxygenase, cytochrome P450 monooxygenase, prenyl transferase, terpene cyclase, cytochrome P450 monooxygenase, FAD-dependent monooxygenase, cytochrome P450 monooxygenase, aromatic prenyl transferase, flavin-binding monooxygenase, heat shock protein, complete cds	indole.terpene	Others	Tolypocladium album	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Ophiocordycipitaceae,Tolypocladium
BGC0001277	BGC0001277	Gibberella zeae strain GZ3639 trichothecene gene cluster, complete sequence	terpene	Terpene	Fusarium graminearum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium
BGC0001278	BGC0001278	Fusarium sporotrichioides trichothecene gene cluster, complete sequence	terpene	Terpene	Fusarium sporotrichioides	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium
BGC0001321	BGC0001321	Solanum habrochaites isolate LA1778 chromosome 8 terpene biosynthesis gene locus, partial sequence	terpene	Terpene	Solanum habrochaites	Eukaryota,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophyta,Magnoliopsida,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Solanales,Solanaceae,Solanoideae,Solaneae,Solanum,Solanum subgen. Lycopersicon
BGC0001322	BGC0001322	Solanum lycopersicum chromosome 8 terpene biosythesis gene locus, partial sequence	terpene	Terpene	Solanum lycopersicum	Eukaryota,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophyta,Magnoliopsida,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Solanales,Solanaceae,Solanoideae,Solaneae,Solanum,Solanum subgen. Lycopersicon
BGC0001323	BGC0001323	Solanum pennellii isolate LA0716 chromosome 8 terpene biosynthesis gene locus, partial sequence	terpene	Terpene	Solanum pennellii	Eukaryota,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophyta,Magnoliopsida,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Solanales,Solanaceae,Solanoideae,Solaneae,Solanum,Solanum subgen. Lycopersicon
BGC0001324	BGC0001324	Solanum pimpinellifolium isolate LA1589 chromosome 8 terpene biosynthesis gene locus, partial sequence	terpene	Terpene	Solanum pimpinellifolium	Eukaryota,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophyta,Magnoliopsida,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Solanales,Solanaceae,Solanoideae,Solaneae,Solanum,Solanum subgen. Lycopersicon
BGC0001330	BGC0001330	Micromonospora sp. RV43 contig4_size105044, whole genome shotgun sequence	terpene.T1PKS.NRPS-like	Others	Micromonospora sp. RV43	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,unclassified Micromonospora
BGC0001339	BGC0001339	Phoma sp. MF5453 transcription factor (mfL3) gene, partial cds; and squalestatin S1 gene cluster, complete sequence	T1PKS.terpene	Others	Phoma sp. MF5453	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Didymellaceae,Phoma
BGC0001361	BGC0001361	Serratia plymuthica 4Rx13, complete genome	terpene	Terpene	Serratia plymuthica 4Rx13	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia
BGC0001373	BGC0001373	Sordaria araneosa DNA, contains sdnA, sdnB, sdnC, sdnD, sdnE, sdnF, sdnG, sdnH, sdnI, sdnJ, sdnK, sdnL, sdnM, sdnN, sdnO, sdnP, sdnQ, sdnR, sdnS, sdnT gene cluster, strain: ATCC 36386	T1PKS.terpene	Others	Sordaria araneosa	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Sordariales,Sordariaceae,Sordaria
BGC0001456	BGC0001456	Streptomyces argillaceus genomic DNA containing Isorenieratene biosynthesis gene cluster region, strain ATCC 12956	terpene	Terpene	Streptomyces argillaceus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001475	BGC0001475	Aspergillus terreus NIH2624 scaffold_6 genomic scaffold, whole genome shotgun sequence	terpene	Terpene	Aspergillus terreus NIH2624	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0001481	BGC0001481	Fusarium fujikuroi IMI 58289 draft genome, chromosome FFUJ_chr10	terpene	Terpene	Fusarium fujikuroi IMI 58289	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi species complex
BGC0001580	BGC0001580	Streptomyces aburaviensis Ebelactone biosynthetic gene cluster, strain ATCC31860	T1PKS.terpene	Others	Kitasatospora aburaviensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Kitasatospora
BGC0001604	BGC0001604	Fusarium fujikuroi strain B14 gibberellin biosynthetic gene cluster, complete sequence	terpene	Terpene	Fusarium fujikuroi	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi species complex
BGC0001617	BGC0001617	Stereum hirsutum FP-91666 SS1 unplaced genomic scaffold STEHIscaffold_4, whole genome shotgun sequence	terpene	Terpene	Stereum hirsutum FP-91666 SS1	Eukaryota,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Russulales,Stereaceae,Stereum
BGC0001642	BGC0001642	Fusarium fujikuroi IMI 58289 draft genome, chromosome FFUJ_chr08	terpene	Terpene	Fusarium fujikuroi IMI 58289	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi species complex
BGC0001646	BGC0001646	Burkholderia gladioli strain Lv-StB lagriamide biosynthesis gene cluster, complete sequence	NRPS.transAT-PKS.terpene	Others	Burkholderia gladioli	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
BGC0001706	BGC0001706	Hypoxylon pulicicidum strain MF5954 hypothetical protein, cytochrome P450 oxygenase (nodW), cytochrome P450 oxygenase (nodR), cytochrome P450 oxygenase (nodX), FAD-dependent oxygenase (nodM), indole diterpene cyclase (nodB), FAD-dependent oxygenase (nodO), cytochrome P450 oxygenase (nodJ), geranylgeranyl transferase (nodC), FAD-dependent oxygenase (nodY1), prenyl transferase (nodD2), indole diterpene biosynthesis protein (nodD1), FAD-dependent oxygenase (nodY2), cytochrome P450 oxygenase (nodZ), and hypothetical protein genes, complete cds	indole.terpene	Others	Hypoxylon pulicicidum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Xylariomycetidae,Xylariales,Hypoxylaceae,Hypoxylon
BGC0001746	BGC0001746	Streptomyces pristinaespiralis ATCC 25486 chromosome, whole genome shotgun sequence	terpene	Terpene	Streptomyces pristinaespiralis ATCC 25486	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001756	BGC0001756	Arabidopsis thaliana chromosome 3, partial sequence	terpene	Terpene	Arabidopsis thaliana	Eukaryota,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophyta,Magnoliopsida,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Brassicales,Brassicaceae,Camelineae,Arabidopsis
BGC0001775	BGC0001775	Cordana terrestris FKA-25 DNA, sespendole biosynthetic gene cluster	indole.terpene	Others	Cordana terrestris	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Sordariomycetidae incertae sedis,Cordana
BGC0001776	BGC0001776	Penicillium janthinellum strain PN2408 janthitremane gene cluster, partial sequence	indole.terpene	Others	Penicillium janthinellum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium
BGC0001777	BGC0001777	TPA_exp: Escovopsis weberi shearinine biosynthesis gene cluster, complete sequence	indole.terpene	Others	Escovopsis weberi	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Hypocreaceae,Escovopsis
BGC0001811	BGC0001811	Fusarium asiaticum DNA, tri gene cluster	terpene	Terpene	Fusarium asiaticum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium
BGC0001839	BGC0001839	Aspergillus sp. Z5 contig188_scaffold34, whole genome shotgun sequence	terpene	Terpene	Aspergillus sp. Z5	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0001903	BGC0001903	Streptomyces sp. MA37 cytochrome c oxidase subunit I gene, partial cds; cytochrome c oxidase polypeptide 4, lipoprotein, L,D-transpeptidase, two-component system response regulator, cytochrome c oxidase subunit III, cytochrome C heme-binding subunit, ubiquinol-cytochrome C reductase iron-sulfur subunit, ubiquinol-cytochrome c reductase cytochrome b subunit, and cytochrome P450 monooxygenase genes, complete cds; neocarazostatin A biosynthesis gene cluster, complete sequence; and transcriptional regulator and putative integral membrane protein genes, complete cds	terpene	Terpene	Streptomyces sp. MA37	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001910	BGC0001910	Streptomyces cyslabdanicus DNA, related genes for cyslabdan biosynthesis, strain: K04-0144	terpene	Terpene	Streptomyces cyslabdanicus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001911	BGC0001911	Streptomyces anulatus DNA, related genes for raimonol biosynthesis, strain: GM95	terpene	Terpene	Streptomyces anulatus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0001969	BGC0001969	Talaromyces wortmannii asperterpenoid A biosynthetic gene cluster, complete sequence	terpene	Terpene	Talaromyces wortmannii	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces sect. Islandici
BGC0001995	BGC0001995	Aspergillus oryzae RIB40 DNA, chromosome 7	terpene	Terpene	Aspergillus oryzae RIB40	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0001997	BGC0001997	Nicotiana tabacum cultivar K326 Nitab4.5_0001461, whole genome shotgun sequence	terpene	Terpene	Nicotiana tabacum	Eukaryota,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophyta,Magnoliopsida,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Solanales,Solanaceae,Nicotianoideae,Nicotianeae,Nicotiana
BGC0002007	BGC0002007	Amycolatopsis tolypomycina strain DSM 44544, whole genome shotgun sequence	terpene	Terpene	Amycolatopsis tolypomycina	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
BGC0002019	BGC0002019	TPA_exp: Streptomyces sp. CB03234, complete sequence	terpene	Terpene	Streptomyces sp. CB03234	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002149	BGC0002149	Aspergillus alliaceus strain ATCC 20738 indole diterpene biosynthetic gene cluster, complete sequence	NRPS.terpene	Others	Aspergillus alliaceus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
